family,phi,lambda,replicate,hash_rank
gaussian,0.2,1.0,218,05de1de716fc94392bc2363f9f46468313c0b55fd14b1a404cb8704c4c0aa0ce
gaussian,0.2,1.0,259,00589ac27070abac6002cfda201d6ea3116b25614e32a4d918dfccbe9e662ebd
gaussian,0.2,2.0,18,09e53114f0a85cde148ad1906f8038eedaf1d446cf5f0bd1a71a4d699035bfe9
gaussian,0.2,2.0,63,004a2b03b89284390f1f96ff63d86cbdb7203e6d6dafde9dff10ac0ef78f44a5
gaussian,0.2,2.0,64,02fb51a1f527e5e09318f584e3851152ffc592f3fba1941c12350856662da815
gaussian,0.2,2.0,86,0184bdd3093c672d36e957ab5674c5b3a26a302058b9b2d09bf583ebf300b601
gaussian,0.2,2.0,111,05210fd2c0d98a592f3aff9baacc6d5f87cb0886f66e6dff2865998f6bed2d76
gaussian,0.2,2.0,130,055f8381dba6ddd8f2e1f6ceafc7d31918e01892179bb74695ee62cd93afbe66
gaussian,0.2,2.0,135,0124aca27790daf1cbb01e4d3108c6d336a53d111af88a104d28192cb1fef2e1
gaussian,0.2,2.0,153,03fba7dc9de8b97a44348498f1299c6ac5e53bfebab9ad63771efc568d1608e4
gaussian,0.2,2.0,256,02c6e866ece14db93d6e156a43731f528f1f26dd6edbab59a58f59bafc7960b0
gaussian,0.2,2.0,279,06e049f1e0234232e4d4549eef5ea720f68f22e858fdde710e01adc62836d766
gaussian,0.2,4.0,56,013f792bf5b51d3a23e0a86d11769d22a86d1bfe5b6a046cf2501ce695c9e268
gaussian,0.2,4.0,66,076074e4be302741d0d65b2c5a3b5a3c858dd7929c20f6962c1d45e000f610c3
gaussian,0.2,4.0,152,004c85d974b3b0082cf0b64a0d6ef3060e89bef31a8c5dbf4ac0f06ea36611d3
gaussian,0.2,4.0,182,076243e6512a4d48d648322bf12f25f9eb33eea0b57ddb0e5bd7e6e845ad20e2
gaussian,0.2,4.0,187,08986b324a67ad691c2412c57b66ca37e29c146ce47f9227d0c3e7af30848fef
gaussian,0.2,4.0,193,02f3be07bc7fbb2cf70f6fb80d02d6c6099f0ed62f021afdfb886d13f147fb0d
gaussian,0.2,4.0,215,0994a02072bc724ea1a9e254ad5b47e8bd5e02c06e852015881bb136f9af56ae
gaussian,0.2,4.0,216,0a5883804388a7071e086d6b052931fd89d5cccd954f479cbd60f80c5a91fece
gaussian,0.2,4.0,258,005ede2d43cb58df22254cd8ea57aef72f8caf64bb16f3e9876ac3d430317ff2
gaussian,0.2,4.0,260,041ef13fd9ada1b46b04f212a498012638dced9215ca41f09e1f9cf48406a88c
gaussian,0.5,0.0,23,04e69a069f2899129a33f29b9256be7086a33d998c20e349ae7980f473c96810
gaussian,0.5,0.0,56,056c06a89159c344128affb5bbd68bbd1de76a60b7ed394e08aef90714987b2c
gaussian,0.5,0.0,58,0034a78db70c75828739e7cce6347a32b0cce44ddabf122fe5d391ea52d86707
gaussian,0.5,0.0,95,04449bfd762239e497f0cc94aa276c80c68fead196dbc8289446f158e54f0e4e
gaussian,0.5,0.0,142,007ee78283974af1f421cd932cb631dce8969838dcaea77171c447b08b7c7253
gaussian,0.5,0.0,160,02a48d947a592fc1e7cc6494f6a31721eb62ccffdbb16e3532f67d5e9ff916f4
gaussian,0.5,0.0,190,0549c248d30fbadd24fe766ea3564f929ad1cafbceaf156999364178a7416aac
gaussian,0.5,0.0,239,02a2dd3796d1f5971d38b54e4c41c30f4e23970f8d3c066cebc929f883dd6c2e
gaussian,0.5,0.0,241,0225b22b6b44a405363037ee7b494430d845b8393463ca5c7960548aa71c5004
gaussian,0.5,0.0,290,009bc09c959bc0b5f9d5b7f950fc3c1c37f7a8ffc07c6e517264c365bf9f004e
gaussian,0.5,0.5,8,0294497e4ba10351363ff4f1ea56d0628f68c2182fa0db5cceec12f0aa42a7d3
gaussian,0.5,0.5,51,0357cc17ff3c098452c266bbed7827e7e928d6e4527de07ce2233e7b6d90da47
gaussian,0.5,0.5,77,0693e4fb35ccd19cb3f83ea00d8aa94ecf7296298bde443125040db77603aaa3
gaussian,0.5,0.5,84,066e21347bd804bead48864f668ba2321f5223e317308cdb838b92e0903e5fcf
gaussian,0.5,0.5,111,078a239c1ba64ba38c8508139a114300c20ad60293a727d9dfe9ff54437d09f7
gaussian,0.5,0.5,147,0458d44155c7325968cf5d42efe1b20a38bbc5a58545901c29ddb26440ee2251
gaussian,0.5,0.5,174,06b98bd3edbe6a005655a6614c95020a45cf49435bb9a051576d5dd09fefe033
gaussian,0.5,0.5,197,075d35fb3fd433cb51937f1439647cd0a1473b5f5d5453465971721cbeb336c3
gaussian,0.5,0.5,209,06256950a61efbfb9b958112b4bbeef5ac537723218929a1159d3c450e8b7d4d
gaussian,0.5,0.5,295,072744689ee41616955162f3516b15fb44b1009d0d93080a8b7401f9669468ae
gaussian,0.5,1.0,4,064d8faef9a2179156163f8a267189b3fd914468064352d07e9c17f20c43b6f2
gaussian,0.5,1.0,83,01a9f4ef74a7c91ccc379772e7d6d72574d40b6500484b7b0366015a10a6e66f
gaussian,0.5,1.0,120,008ecb1be99a60b208f98e19503eabe98ea88e54ee39fdd615c59188c25432cb
gaussian,0.5,1.0,129,0166e25a8dff8cc9c981e551a4ad7f66d61a857adca5cd14ba3b777c883eeb43
gaussian,0.5,1.0,182,07cc7dad6058e1749775f9d12945ab3201bf0d6fb944352fc8c756f8bf10e218
gaussian,0.5,1.0,231,0805fa68a03bcc73735788073c89aa1193ebc67ad032ffb6e7bf9bf0d483bfc8
gaussian,0.5,1.0,249,03f71b6d2b0cb6d6eac76977d69fac44765dde91a4a0e7815ab1a84ce2aa046c
gaussian,0.5,1.0,254,059b02932e766a46cce1ba4ba30247165d82ae19919938cdad971bee032c6716
gaussian,0.5,1.0,256,0968eeac89f6ae15cfcef33e155413b5bef5ebd3b53b736c9ac73bfcc4a38315
gaussian,0.5,1.0,280,006f3f1ce6067c80909c510514d7f1430617349b85ef9795f6ba947dbe2c18a1
gaussian,0.5,2.0,2,0b34628b812ef2332e7d08fd86d7c4f10cf224bc9e7e62488742c3412925f922
gaussian,0.5,2.0,25,0792c550eb4b6f9bcd0c4426f103189f1dd4998aedb9c8eed7df09a289df9f1b
gaussian,0.5,2.0,28,0b22ee4d781371f2a510a535117db374bab46ac0d02bc5ff6c16d29f88797e21
gaussian,0.5,2.0,74,043e344f848ee98d02f8ef4108ea3c8ffc9d59bf4742fab277e7553b64e2235e
gaussian,0.5,2.0,109,00935ac674a4f6704de04f7bf14f96abc9e544f0ba6ce8ff448f3ad72ec53d76
gaussian,0.5,2.0,118,053520e54df877152552fbd69f60ac338e9ec4cf5779f4b8545d1e92c932072c
gaussian,0.5,2.0,122,0c5f557ad660862ee1b753d48608211a7a351c655082137f505bc7a437b24c56
gaussian,0.5,2.0,158,04da9a9fbbc29f2e8283205cf0a485c6d004e11257e07bff5a951fd7bbeec8bf
gaussian,0.5,2.0,182,02a7724b43c4d4060effc773dd9e701d619a96de9348851c620119cedc56fe76
gaussian,0.5,2.0,233,00945c2475deed8364e24b4b1b0dd59a23c876e7f59236cfd024391e62e6c967
gaussian,0.5,4.0,2,073047d0be54bce217c30ea9f4c2e6cec0e400a6ebda815693b1218155b3d7d6
gaussian,0.5,4.0,3,06aedeb839bcda3649eb4507ecca067d317fb4af006ac46b912742c6fb4d8566
gaussian,0.5,4.0,5,06734c325c5bd9e4c38a12db99d7c02f546eb26d8c36cb177412875390e80451
gaussian,0.5,4.0,66,05123a4804e79426e28fec53a434846d227b0a6d62aba05f4d284f2752482c3a
gaussian,0.5,4.0,92,04908ce2015ce2fa8a733002fc3ae44efa58e7f1a907edadd1f0cb21d28db399
gaussian,0.5,4.0,128,0221de1dd55cd6a3e5029fbaa8520399c22f3db321b7e49f9b534014aec52f30
gaussian,0.5,4.0,145,068b265770848ccf45a60b53f79b0c88fc481e39fd824d3b74d113e350e35752
gaussian,0.5,4.0,190,0387a2a78797b31ee8c7b33f75548d5a9d77d8b8604afe15cedf9841572bfdab
gaussian,0.5,4.0,253,02e8993b0599312b8df1b654f978cb9a2f1276fab116f887475ce1f7173c2c1f
gaussian,0.5,4.0,270,04a8600ee73f5abce130623f3c47ce3a91add487a84c79ce9c9f47d79e203b03
gaussian,0.8,0.0,27,04efa8996e77ef5f71e0446a7ea7e99065e79744bbda8d8b7691a894496ba51d
gaussian,0.8,0.0,72,037010b7575ec7df067e0a86600337c66a802bc195535e7f5da85520c66c53f7
gaussian,0.8,0.0,73,01fbd2fdcc8a14ddd84ef736b6582523217b3a66486f63c91254f59d9d483f12
gaussian,0.8,0.0,96,0170ff1ecd215434320eaf7a2e16eb88210920d8ed34c4dfddfc69542892ebbe
gaussian,0.8,0.0,118,049f1afcf666dc40c982e55a9efbcbe00038eeb0418f10eb6d687fe1e89d1d64
gaussian,0.8,0.0,203,0257a3fa3950b2588c0c19620d56ebb341438b572f0685e445967b7abfff0b77
gaussian,0.8,0.0,215,0665ed2ea11689fa62d72197c038cc579feb4461599e24469319d984ab8ec764
gaussian,0.8,0.0,248,01c1cbbdf2b82818f471beab509d13daf85dce4fd590f79511fef94241dbb6f7
gaussian,0.8,0.0,256,05d095474806a778cefd8a27ba9e4bfa6c85976c538d2b555349193bc313e3c8
gaussian,0.8,0.0,288,03cc0a58d5e82d1ab89c35aec891724bd261286dedbf69136d1aac54623b2d53
gaussian,0.8,0.5,12,0816a26dc6df64b443a096cde61fa16b35ccc970cf1881a5b24e278640327062
gaussian,0.8,0.5,67,04dff9ed4b08d2e38e3f4b93a8576d392109e2f180aeb7b6dbc5c410d195f723
gaussian,0.8,0.5,85,0b16ccfdcb563d78b44aa39857c88c843343c381bbc078221aa4aa147613e757
gaussian,0.8,0.5,126,0b244f620efc93bb2b400f353e97324099e4f6b53f4d684543ce9a0562ed0453
gaussian,0.8,0.5,138,04a2a5a4faf9fb1cce1efc0e643d3d30e0afc33a2264f97f19a2d2120575e39f
gaussian,0.8,0.5,150,0985ad580edf22748f26c09bd4198501e02dc909788619b56c9780e87367f368
gaussian,0.8,0.5,151,0bc2594a71ee2e7b86a3436b48a6137205dda088dc91134f4263e6a6e6631d4b
gaussian,0.8,0.5,188,05be812f0b0f83eea85cec20a9f91f5811f342f112724a1129cda8faf027ec6a
gaussian,0.8,0.5,205,0b0b2ef7c0199703007c3c6bf97acc92c44f035c61afb4d3015113ee85d832bc
gaussian,0.8,0.5,243,0c08a55ffaa959d8b0a28c5ef7be54fb032762dfcf1f15fca7c8f2b15ee577d5
gaussian,0.8,1.0,51,0218258628c1634d578ddb2d282e46824ac2566f88d095f8db52b5ee5de156c0
gaussian,0.8,1.0,70,04d1e0265651219d5a7322cbb071292165d13121e307cb33632e1322e34387a3
gaussian,0.8,1.0,110,0257bdd8a35c93a16e06d579ef8f32247790cfed7dde3f513b1886205ed46229
gaussian,0.8,1.0,153,00c2cd4293d938f6d815df88f2347029ef0833f327ad264fb82f7a5fab183c45
gaussian,0.8,1.0,185,0517a4a052c5d579b300c19bcbcda581f05dcb85fc759aa50340dd637aa8fc7b
gaussian,0.8,1.0,191,046c0fe2f08f1804299fd98335b14a63b16303da8fb30a5368633133afbf71be
gaussian,0.8,1.0,236,03451c30997c5cc5857c17f8cfb98066e8827f2c7f396e506378dc8c207c26d4
gaussian,0.8,1.0,241,0379001d79d3fb1156af57c12258d656aa507910fccad73a31902b3884489cd6
gaussian,0.8,1.0,244,04a3585390eb5e3168f8550a8d1a33265f7cf9c7ed75772fa1a72da8d72a0498
gaussian,0.8,1.0,248,01b4f8feb98f38a9c7058726623f72e552863878f30c7e27bfdcbfdd1ca1e389
gaussian,0.8,2.0,12,08ae1fd87840c2034f1d7741ede9aa03eeec454fcdf6566bbfcf4c9e0a49c83d
gaussian,0.8,2.0,20,00964bea9df22f9e9474e4225f2ef8ec54640d69ce103bfeba5c43410ca2fa74
gaussian,0.8,2.0,100,07bea33dbe58cf321980da68019b4cfdf07153011383becf52af9fb33fed50f9
gaussian,0.8,2.0,120,0559b9551d553ae3cf46167592b67aa50d722d9c8ddfdbed8f57645bdaf678e7
gaussian,0.8,2.0,153,01dde40d34a566ab3e6338b412e5ee73fd50cb32bea915b1800f3c19910d63a2
gaussian,0.8,2.0,207,060e56c1155915ee13aae7617c9e56d04ed1d30d0f10752fbb50c23712b3b730
gaussian,0.8,2.0,219,0882ea0dc610d2a8e9bb7d2575c2cedd60d5b592ba0e188048a3c0b21d56c3a9
gaussian,0.8,2.0,224,093bd194c48e587399d993b2da55c063e5aabf094e0f0fe1dbc8236c6ef8664d
gaussian,0.8,2.0,245,099a45265495f835ea7afaf262b20bd80c31b931b3d7381686210cce1e315fa1
gaussian,0.8,2.0,275,08ea818467317b4258e48ab2f893818191f8ab769f5fbfc2d9ebb3c8b035ebd8
gaussian,0.8,4.0,64,0a78dc7c5726471881d95b914678d301ded2939dc50e2418a9210e95ac839c0a
gaussian,0.8,4.0,92,06461c878eb89e9349e04ba99375ca90e4d98639f9bff4b9e982512e4df0adce
gaussian,0.8,4.0,107,00d2cdd6a0d89c6aad6d20091fd4a43783fcc706fd3ca22ccb0d9d2e679aca1b
gaussian,0.8,4.0,118,07712d09ee1ad318a57338db8481ad1a1894df1ced8f639c188806a553ebb8a7
gaussian,0.8,4.0,170,0683ef33ebe85f9adc75a3022a750bddfda0eb1c1c5492e0f6c7868e487b81de
gaussian,0.8,4.0,182,094e42b068cf824167e1e9ac4f5cba865950fd202ca53a61c4dd817c1c4654bf
gaussian,0.8,4.0,193,00f749d4ce9dbc13775d238872eeeff4f447e768f85223bcf2aa1aa8f67ba2df
gaussian,0.8,4.0,221,04ca9f0f9226b31ea561655ba200f23d001b7c69d4816fc6d9705a6d5f0bec3e
gaussian,0.8,4.0,248,040d505bfe2a31d41dc16d129bfc4aa64f56ac6cc2afc5fd6726e2ef768bce1b
gaussian,0.8,4.0,274,0a0d463af0a51c5b0de862e09f9cbf0a9a9aa69551e8a771d7bca19e1e7bdede
periodic,0.2,0.0,22,06ff47c61d816ef73200f8c9189bce16a218862c7f910600f69ed4a791ac955c
periodic,0.2,0.0,23,035c959b1c01fa31e3302b1578d819907cfd31432a858a0e5e5822b0b3892b6b
periodic,0.2,0.0,51,061a7f1097b7c953cff289b1688acdf40f4e96923708cbde52d839be47d4d5ff
periodic,0.2,0.0,97,01216301e0c81c42d62856c236c807de3dc3476bb159b818ea5492bdda4f0b44
periodic,0.2,0.0,118,079079f38120fd0d7aafdac8ce1d3a9c39cc3313ca2ff6089c098d2193a5eec1
periodic,0.2,0.0,151,03f0a6902a1371aff8f9793418c378cbdb5cd3802225cf3bb8e99f2c76c31f58
periodic,0.2,0.0,155,01f539167c4b350e5b903ee71561b1b28834921884387c0743babf5fbd65ccfc
periodic,0.2,0.0,157,01b0fa8b3d3c364aff19af8be62fe8940bfe9e8b97d4612b7f1f7ec0bf913333
periodic,0.2,0.0,212,04fc8b4a578faa346ccbc1c08fb07cd22ceb51321938ceba12aba7ddad871829
periodic,0.2,0.0,246,031ae1b0fc66fccc8a1f8865bbd3bd5e8b9658958e72183957fa7e588cf6f0a2
periodic,0.2,0.5,8,052e340d2684308314a33dd79b85c7a6cb0f8e882d32543e12d21ccad202c797
periodic,0.2,0.5,14,01cc248bb993e02e39dd1e0e0b5f9f9d6efa3ae1e186d6dd9ec59f63b9e876f4
periodic,0.2,0.5,29,045a2b3b3bd452aa0e6da31688b8c23f60f5a6a4e39f5ba332af3fa40230ea6b
periodic,0.2,0.5,44,03d646da04a40bfd76d8d5ba718a2a973fadcc70fc98f7a5adde6f6ae28bbfd9
periodic,0.2,0.5,67,044176395e1aa12cd0c438da0beff28582f02cb441277ebb6da98c39dcd692b7
periodic,0.2,0.5,116,03c1ec9b6ec5a7edbf06e1f48b45fbd03e2d2583cb440e017e022b3c7fc5b666
periodic,0.2,0.5,119,02676582b128fb60dcb22af7c297c093aec078bc83313f3e348691a4aa0281a8
periodic,0.2,0.5,120,028601280234be43054e8c930f9516629f2a0d25b65d5ac930c2a5477de5cd43
periodic,0.2,0.5,192,0103c0ee455ecb4dcf7efe99ed2f1ddc454edbfa200cc18afbdeffccaa348ff0
periodic,0.2,0.5,268,00deda919995e7a5e894e3cf2ef500229f2e2503932f8ffd39ff2386c0541bf7
periodic,0.2,1.0,9,0273cbc04ba9ffb9cb8b26c3ea1ce2f0743e92de8bf96646e3594c95cbe607da
periodic,0.2,1.0,23,065b4acb1144195902ef50e8f12a42631f88ff23d33f41d0671b65dff223db02
periodic,0.2,1.0,54,03445748da024278a280f312edc90d772b30327b6f412e10a9d20d704e37bc5a
periodic,0.2,1.0,142,009239455bc3bc1115d1f4b8894ae189701e407f483a8dc99a3c5cee854f5da9
periodic,0.2,1.0,146,042bb12a6839b0f9f5ee62b12aef957ac29a5cede98d580978ecff587e40aa90
periodic,0.2,1.0,182,06722181da7aba222fad2c56fb82397c3b649676783c2ea8075b0b0488f6f3d0
periodic,0.2,1.0,186,067be0b43d41b49fd8d1d03e1ced60163b79a131aa2841c139f2a870354e3e99
periodic,0.2,1.0,189,01a8507fa538cb2664a907545ea2f5cf94729b85dc8351987786a186cad56fd3
periodic,0.2,1.0,199,02e70d165ac7cc30b8926db3a640b1601dd475363c0099697e659e5ac9f5a2bd
periodic,0.2,1.0,232,0622a02cf97f438bedeededd1f7e0f2473972f1064691b28e74f4c31d1b12abc
periodic,0.2,2.0,28,04796c3f886e07fca1bc2f4918ebc558adff26a981b3b370f7e8bf34d49fc57d
periodic,0.2,2.0,45,016fec6972466f8ef779faf08d8b7a5b32294ae640952fe2eca8bda67b84ee24
periodic,0.2,2.0,57,08cd53d0dc31a41398364b5da6862dba9041ca68456be527577ed8721c03ca98
periodic,0.2,2.0,62,04adda21a2fd7917c11ccacfbb3f5117932f65c072237015305c380d5f84adc5
periodic,0.2,2.0,75,04cce34592774abda5728907f5d511e261a108ab04889cbb33bcf831445e661b
periodic,0.2,2.0,109,02bae680700d8adb615a06179b30283a6824f3a6dd9ae5e37f6fc295836a3a53
periodic,0.2,2.0,144,036f698a67330aed887da6308a3225b2bf8f59c143ff0485812de6acd765b701
periodic,0.2,2.0,152,025f8b4c030b6057edf93cfc36ee86aecba88e76e9b4cb42d56c181c94a8fa26
periodic,0.2,2.0,190,05edcab61b9f524494a702834c386cac863527a987488be2ec8b07d862f4b3c3
periodic,0.2,2.0,243,08e1f35ca8aee5db3bb59129ccad67abe30bf50081e4e00662cdef7816aa1388
periodic,0.2,4.0,26,076f2971cb547a5addc020e03c344479c936858a4d2da168410bb8d260c8e6de
periodic,0.2,4.0,31,04e9d7bcef8521dfaca7bf010ed3c84f5424b97bdaa94f7145bf0ea62402c63d
periodic,0.2,4.0,63,0321bf755cb935b0b7440eebcef006a6684b64f7ed2d94024ebf4447d5998122
periodic,0.2,4.0,81,0806fe7f0772aa31e8eee0cf0b472e40c6eeec3b7c6b7b7432d45121e093551d
periodic,0.2,4.0,108,03a8b5b53cff97c433e106e76f1e53be6c6a6afa27bf93203a328bfaf5143a4f
periodic,0.2,4.0,126,029f8e5e2a0c38e278b0a5c9aa8312e12bad6c3314ecd4b2b61769acb49269ad
periodic,0.2,4.0,132,04499f3f8fd3aaa63351c71e498ef1f196d6124ff2f645eb12d982c6fc243f2b
periodic,0.2,4.0,168,034d04880568046de5c24d02ca6c70654b2d984a3ee64e95eb8b5c13bf5d60d6
periodic,0.2,4.0,197,000984114307ab1d693a71bc63ca91b02a288f41d8268911d3b8d74e0555ac3b
periodic,0.2,4.0,298,00f560294a1548ab1da9307d6361b78efae66cd31b3b17edf1fca714edb556e6
periodic,0.5,0.0,35,08d043d6ff24ba9cc5507f442f79ebd27d04b3a0d468f4d6a2784eef0cb1c813
periodic,0.5,0.0,42,008444dc4d7af6d11828bb0a45dc0d39fbb6972392a791ee6790caaa3f681fad
periodic,0.5,0.0,60,063d0c2558fbf0074df884d09ada4e8a2b4e73bc1e7bd8ad468b967b6a1ea4d0
periodic,0.5,0.0,130,07e7d55f65b8be51d592db64511d97c15a6cb407915026f596767e5637152037
periodic,0.5,0.0,178,089551a4abc186f3290473da4bf0a9de94d99aa1e5a7d95c8b493e86dafe058e
periodic,0.5,0.0,203,005f1c960f80f9300cb75a9d4e14d98c3e1bec452a0b83f807e7105b3ccb5d21
periodic,0.5,0.0,220,0658cbd45c958761c3076df537d6a3610378eca67c26b4f6fe79d24c35fc65c7
periodic,0.5,0.0,229,03bfc3a4b3abb7c16bf71b9a18ef8603deacf931d3e6c301942688a145af2057
periodic,0.5,0.0,244,08357e8556c72959be216beae947819e181b7a2d65980f0ac4f37ef05c15d353
periodic,0.5,0.0,250,04419a396df54709619d75de265e699a9d76727b1c7b72c2eb21d3f6dfebbe28
periodic,0.5,0.5,1,045f10ad8ad0a6f6f7cffb6148b12bb8d7a0c6c665df2f9eb5720182249e5140
periodic,0.5,0.5,6,05e28f2202c64bd317684c873c2f5e51017fa506f23c898ce615962035430ecb
periodic,0.5,0.5,32,03fedf149d90adbefede612b183d252c987d6733e20ae26691249595ab85521b
periodic,0.5,0.5,103,081899743c66ad615025ab43018eaef2275555de9fdbbf9ee354629be353012b
periodic,0.5,0.5,106,01029736f43d4ee92187745b98cb400d365e95099ea1dd69eeb508a560264131
periodic,0.5,0.5,169,06618fbf13f627f2b77e628ab6ce45713e03b61e07b4b03fec355498f494cff7
periodic,0.5,0.5,229,06e49f22fe6d13e3fb7d705f6f43f28fc62e8bdc6c40417ef933bea78a3d3b70
periodic,0.5,0.5,261,016d05dba20b01cd45d5907203f4c3100dbdec913451d7281692c605f345a265
periodic,0.5,0.5,268,0856c2024bc1ba590112957d6423b00fe7d14c4d2b6ad02da5565571a25acfbf
periodic,0.5,0.5,289,00a77e388c991743ff35eec580786fdb4b49e2148b6b91764aca1e939c1102ba
periodic,0.5,1.0,11,04623456887f15756ee0d12ea42f8211a3becab116550de4f94d0913a9ac8d54
periodic,0.5,1.0,35,0573e5621a35046e5242d7bf2d7f4880db29097874bb8a31764eb3abff01975b
periodic,0.5,1.0,43,0b10c4cc00633161dd746cbe5fc97d4ca693e8533e90744944807a01dbf327fe
periodic,0.5,1.0,58,12c13cffd29cc96884a90bd17b498bf6debd27240445b7dded7d1628249fbb80
periodic,0.5,1.0,92,05026a441811eed2d76f75a5166c0357723d2823542b827b11f65473b6540d39
periodic,0.5,1.0,118,01ef4966907d16ab19156d0ba8cb55d65e6a109d0140ce84894ccefaf11ec577
periodic,0.5,1.0,122,0540f2be68b5b57c31d997fb7a049b5c36b711d4affd5b9803257b930926b0e5
periodic,0.5,1.0,202,0eaf2ca08e8a9a502405f7fbdac2b6991883dc27f38a37f647023475be511a91
periodic,0.5,1.0,217,00d131615485eca977618220c181198a068e8af7ddd646a48cf350a75b765699
periodic,0.5,1.0,299,01ed512315a7b8797fb3999592207698563e9e92eca02161de9cfed0f5479b08
periodic,0.5,2.0,26,01d5cefe59f37802be4cdae32ccc2dc96b03ada8b66bdedc62d2492d80ebeb33
periodic,0.5,2.0,44,024097ab0c8d164269c07da555506a8d65a3c174f66765aac1da1c444f3d7d1a
periodic,0.5,2.0,49,02b499078a20ecf19860aabb435b320f95340a4a1dd29733a4ae6141ec4dedd0
periodic,0.5,2.0,116,0631e3b1ba061664a6b4a9fe49f48ab979c14784f46d5dfe8cf4c0886c44873d
periodic,0.5,2.0,141,02d7dbea9cf52c788b43039ce9a9310293cface2956821cecc57f6560093ef9d
periodic,0.5,2.0,159,04f92ad832e2a591eb985adaf0a0e5a0161094a55201b93780d46eec22c867be
periodic,0.5,2.0,162,06258c7cf2a397ebf1506decc41717656712f69a6f33210b3e7081ffc560a4e3
periodic,0.5,2.0,206,0326102e29035718cb2f5dfa05d8b3e6f0828b01b87162d5db5709593eebdd4c
periodic,0.5,2.0,225,026946afecde6f40193392d7ad803dc95607ae3a519637acdf6e5ab44af3f768
periodic,0.5,2.0,250,018491bf2d6c1ff5c066c164eae8e9b04b9d9aca274b1f95242a91332d24e566
periodic,0.5,4.0,47,038e761d5c74a8da3fda077a13e70665d7776dd4a2d24616e41aa1bc480deea5
periodic,0.5,4.0,77,0344eedeb223a338501d0701a60f1bc5531db14de7a0858c3a28fa081b8f8e32
periodic,0.5,4.0,103,0563cd5a199dc263018c1c7cde35f197986773fae4219c13b81b5766ea8ebde1
periodic,0.5,4.0,110,040f1fa7de528f199f6cf55fd8a3b7b98893f6debbf1e08c4110598a2dc0ea87
periodic,0.5,4.0,191,077058725bc896eb8208fea53b3a91948cacd3ca22d8d2e79c76a610ee131d01
